Schema                   Faktor      Linie   Kontrast
BreezeClassic              0,20    #c6c8c9     1,48:1
BreezeDark                 0,20    #4c4e51     1,90:1
BreezeLight                0,20    #c6c8c9     1,48:1
CachyOSNord                0,20    #283c50     1,52:1
CachyOSNordLightly         0,20    #2c4259     1,53:1
Emerald                    0,20    #cccccc     1,60:1
EmeraldDark                0,20    #133d3d     1,44:1
EmeraldLight               0,20    #cccccc     1,60:1
EmeraldSmooth              0,20    #3f4247     1,69:1
IridescentLightly          0,20    #0b2139     1,24:1
IridescentLightly2         0,20    #0b2139     1,24:1
IridescentLightly3         0,20    #052638     1,27:1
KritaBlender               0,20    #555555     1,78:1
KritaBright                0,20    #b2b2b2     1,43:1
KritaDark                  0,20    #616161     1,50:1
KritaDarkOrange            0,20    #4c4c4c     1,91:1
KritaDarker                0,20    #575757     1,77:1
KritaNeutral               0,20    #6a6a6a     1,37:1

Schlechtester Fall: 1,24:1 (IridescentLightly)
