=== Echte Lage in der angemeldeten Sitzung ===
Bildschirm       : 2400x1350 logisch, DPR 2
Fenster DPR      : 1.6
Desktop-Theme    : (aus plasmarc)
Fenstergröße     : 600x174 logisch
Schatten         : vom Compositor angenommen
grab()           : 960x278 Bildpunkte, DPR 1.6

Rotkanal der linken oberen Ecke auf weißem Grund
        0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29
  0   255 255 255 255 255 255 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198 198
  1   255 255 252 225 209 202 198 198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
  2   255 252 205 198 198 198 198 198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
  3   255 225 198 234 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
  4   255 210 198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
  5   255 202 198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
  6   198 198 198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
  7   198 198 198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
  8   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
  9   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 10   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 11   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 12   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 13   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 14   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 15   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 16   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 17   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 18   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 138 138 131 115 146 225 239 239 239 239 239 239 239
 19   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 138 239 239 239 209 113 239 239 239 180 168 229 239
 20   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 138 239 239 239 239 146 235 239 190 132 149 123 239
 21   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 138 239 239 239 239 185 207 172 114 239 239 179 221
 22   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 138 239 239 239 239 180 212 148 117 156 156 140 206
 23   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 138 239 239 239 228 117 239 155 117 239 239 239 239
 24   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 138 196 187 162 115 191 239 235 134 181 212 193 239
 25   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 138 112 118 134 221 239 239 239 229 116 112 117 239
 26   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 27   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 28   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
 29   198 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239 239
