=== #100: Deckung, Rand und Farben von widgets/lineedit je Theme (AK 6b) ===
Auswahlpfad `opaque`, Rahmen 560x90, Verhältnis 1.
Fläche = Mitte der Grafik, Kante = äußerster Bildpunkt der linken Seite.

Theme                       gültig   Rand links   Fläche            Kante
denkzettel-pruef-eckig      ja       6             20, 22, 24/a255   76, 78, 81/a255
denkzettel-test-breit       ja       6             51, 34, 17/a255   65, 27, 71/a255
denkzettel-test-schmal      ja       6             20, 22, 24/a255   76, 78, 81/a255
CachyOS-Nord-round          ja       6              0,  0,  0/a 15    0,  0,  0/a  0
Iridescent-round            ja       6              0,  0,  0/a 15    0,  0,  0/a  0
breeze-dark                 ja       6             20, 22, 24/a255   76, 78, 81/a255
breeze-light                ja       6            255,255,255/a255  198,200,201/a255
cachyos-emerald             ja       6              0,  0,  0/a 15    0,  0,  0/a  0
cachyos-emerald-color       ja       6              0,  0,  0/a 15    0,  0,  0/a  0
cachyos-emerald-light       ja       6              0,  0,  0/a 15    0,  0,  0/a  0
default                     ja       6             20, 22, 24/a255   76, 78, 81/a255
kein-solches-theme          ja       6             20, 22, 24/a255   76, 78, 81/a255
