Theme | Grund | Huelle | Feldflaeche | Feldkante | K(Fl:Hu) | K(Ka:Hu)
denkzettel-pruef-eckig | schwarz | #000000 | #141618 | #4c4e51 | 1.158 | 2.516
denkzettel-pruef-eckig | weiss | #000000 | #141618 | #4c4e51 | 1.158 | 2.516
denkzettel-test-breit | schwarz | #000000 | #332211 | #411b47 | 1.378 | 1.473
denkzettel-test-breit | weiss | #000000 | #332211 | #411b47 | 1.378 | 1.473
denkzettel-test-schmal | schwarz | #000000 | #141618 | #4c4e51 | 1.158 | 2.516
denkzettel-test-schmal | weiss | #000000 | #141618 | #4c4e51 | 1.158 | 2.516
CachyOS-Nord-round | schwarz | #1e2233 | #1c2030 | #1e2233 | 1.026 | 1.000
CachyOS-Nord-round | weiss | #1e2233 | #1c2030 | #1e2233 | 1.026 | 1.000
Iridescent-round | schwarz | #000000 | #000000 | #000000 | 1.000 | 1.000
Iridescent-round | weiss | #cccccc | #c0c0c0 | #cccccc | 1.133 | 1.000
breeze-dark | schwarz | #1b1e20 | #141618 | #4c4e51 | 1.082 | 2.008
breeze-dark | weiss | #424547 | #141618 | #4c4e51 | 1.878 | 1.157
breeze-light | schwarz | #cbcbcc | #ffffff | #c6c8c9 | 1.621 | 1.036
breeze-light | weiss | #f2f2f3 | #ffffff | #c6c8c9 | 1.119 | 1.501
cachyos-emerald | schwarz | #000000 | #000000 | #000000 | 1.000 | 1.000
cachyos-emerald | weiss | #f8f8f8 | #e9e9e9 | #f8f8f8 | 1.143 | 1.000
cachyos-emerald-color | schwarz | #000000 | #000000 | #000000 | 1.000 | 1.000
cachyos-emerald-color | weiss | #f8f8f8 | #e9e9e9 | #f8f8f8 | 1.143 | 1.000
cachyos-emerald-light | schwarz | #000000 | #000000 | #000000 | 1.000 | 1.000
cachyos-emerald-light | weiss | #f8f8f8 | #e9e9e9 | #f8f8f8 | 1.143 | 1.000
default | schwarz | #1b1e20 | #141618 | #4c4e51 | 1.082 | 2.008
default | weiss | #424547 | #141618 | #4c4e51 | 1.878 | 1.157
