Theme | Vorsatz | gueltig | Deckung Mitte | Farbe Mitte | Deckung Kante | Farbe Kante
CachyOS-Nord-round | base | ja | 15 | #000000 | 15 | #000000
CachyOS-Nord-round | hover | ja | 15 | #000000 | 255 | #8ab4f8
CachyOS-Nord-round | focus | ja | 15 | #000000 | 255 | #1a73e8
CachyOS-Nord-round | focusframe | nein | 0 | #000000 | 0 | #000000
Iridescent-round | base | ja | 15 | #000000 | 15 | #000000
Iridescent-round | hover | ja | 15 | #000000 | 255 | #8ab4f8
Iridescent-round | focus | ja | 15 | #000000 | 255 | #1a73e8
Iridescent-round | focusframe | nein | 0 | #000000 | 0 | #000000
breeze-dark | base | ja | 255 | #141618 | 255 | #141618
breeze-dark | hover | ja | 0 | #000000 | 0 | #000000
breeze-dark | focus | ja | 0 | #000000 | 0 | #000000
breeze-dark | focusframe | ja | 0 | #000000 | 84 | #3dade7
breeze-light | base | ja | 255 | #ffffff | 255 | #ffffff
breeze-light | hover | ja | 0 | #000000 | 0 | #000000
breeze-light | focus | ja | 0 | #000000 | 0 | #000000
breeze-light | focusframe | ja | 0 | #000000 | 84 | #3dade7
cachyos-emerald | base | ja | 15 | #000000 | 15 | #000000
cachyos-emerald | hover | ja | 15 | #000000 | 255 | #8ab4f8
cachyos-emerald | focus | ja | 15 | #000000 | 255 | #1a73e8
cachyos-emerald | focusframe | nein | 0 | #000000 | 0 | #000000
cachyos-emerald-color | base | ja | 15 | #000000 | 15 | #000000
cachyos-emerald-color | hover | ja | 15 | #000000 | 255 | #8ab4f8
cachyos-emerald-color | focus | ja | 15 | #000000 | 255 | #1a73e8
cachyos-emerald-color | focusframe | nein | 0 | #000000 | 0 | #000000
cachyos-emerald-light | base | ja | 15 | #000000 | 15 | #000000
cachyos-emerald-light | hover | ja | 15 | #000000 | 255 | #8ab4f8
cachyos-emerald-light | focus | ja | 15 | #000000 | 255 | #1a73e8
cachyos-emerald-light | focusframe | nein | 0 | #000000 | 0 | #000000
default | base | ja | 255 | #141618 | 255 | #141618
default | hover | ja | 0 | #000000 | 0 | #000000
default | focus | ja | 0 | #000000 | 0 | #000000
default | focusframe | ja | 0 | #000000 | 84 | #3dade7
